Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Berufliches Schulzentrum 1 Wirtschaft und Verwaltung der Stadt Leipzig;SN-4450151; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;Lyceé Ampére Lyon;Vermittlung von Unternehmenspraktika für Berufsschüler in der Region Lyongemeinsame Projekte mit Studenten des Lyceé Ampere zur Ermittlung der Markchancen französischer Produkte auf dem deutschen Markt durch Berufsschüler der Fachklassen Industriekauflmann/IndustriekauffrauSchüleraustausch mit Lyon für Schüler des Beruflichen Gymnasiums;Partnerschule;Partnerschule
"Berufliches Schulzentrum 12 Robert Blum " der Stadt Leipzig""erufliches Schulzentrum 12 "Rob""ruf"""erufliches Schulzentrum 12 Robert Blum " der Stadt Leipzi""rufliches Schulze";SN-4450011; Berufsbildende Förderschule;Berufsschule;;;;;Susanna Eger Berufsschule;Kooperation im Bereich der Benachteiligtenförderung;Partnerschule;Partnerschule
"Berufliches Schulzentrum 12 Robert Blum " der Stadt Leipzig""erufliches Schulzentrum 12 "Rob""ruf"""erufliches Schulzentrum 12 Robert Blum " der Stadt Leipzi""rufliches Schulze";SN-4450011; Berufsbildende Förderschule;Berufsschule;;;;;BSZ 7 Leipzig;Kooperation in Bereich der Benachteiligtenförderung;Partnerschule;Partnerschule
"Berufliches Schulzentrum 12 Robert Blum " der Stadt Leipzig""erufliches Schulzentrum 12 "Rob""ruf"""erufliches Schulzentrum 12 Robert Blum " der Stadt Leipzi""rufliches Schulze";SN-4450011; Berufsbildende Förderschule;Berufsschule;;;;;Schule zur Lernförderung Engelsdorf;Schulversuch - Gestrecktes BVJ in kooperativer Form;Partnerschule;Partnerschule
Berufliches Schulzentrum Döbeln-Mittweida;SN-4251054; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;Oberschulen des Landkreises;Berufsorientierungsprojekt mit Mittelschulen;Partnerschule;Partnerschule
Berufliches Schulzentrum für Dienstleistung und Gestaltung;SN-4350062; Berufsschule;Berufsfachschule;Fachoberschule;;;;Dresdnder Förderschulen#;gestrecktes kooperatives BVJ;Partnerschule;Partnerschule
Berufliches Schulzentrum für Ernährung, Sozialwesen und Wirtschaft des Erzgebirgskreises, Schneeberg/Schwarzenberg;SN-4252326; Berufsschule;Berufliches Gymnasium;Fachoberschule;Fachschule;;;OS Zschorlau//OS Aue Zelle//OS Eibenstock;Berufsorientierung im Bereich Gastgewerbe und kaufmännische Ausbildung sowie in der Altenpflege;Partnerschule;Partnerschule
Berufliches Schulzentrum für Ernährung, Sozialwesen und Wirtschaft des Erzgebirgskreises, Schneeberg/Schwarzenberg;SN-4252326; Berufsschule;Berufliches Gymnasium;Fachoberschule;Fachschule;;;Förderschule Aue;Gewinnung von Schülern für das BVJ;Partnerschule;Partnerschule
Berufliches Schulzentrum für Gesundheit und Sozialwesen;SN-4250205; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;;;Landesschwimmmeisterschule Breitenbrunn;Kooperation bei der Ausbildung von Fachangestellten für Bäderbetriebe;Partnerschule;Partnerschule
"Berufliches Schulzentrum für Gesundheit, Technik und Wirtschaft des Erzgebirgskreises Erdmann Kircheis """erufliches Schulze"""erufliches Schulzentr";SN-4252318; Berufsschule;Berufliches Gymnasium;Fachoberschule;Fachschule;;;Oberschulen der Region;Durchführen von BerufsfelderkundungenTeilnehmer: Schüler der Klasse 7 , 8 und der 9. Klasse;Partnerschule;Partnerschule
"Berufliches Schulzentrum für Gesundheit, Technik und Wirtschaft des Erzgebirgskreises Erdmann Kircheis """erufliches Schulze"""erufliches Schulzentr";SN-4252318; Berufsschule;Berufliches Gymnasium;Fachoberschule;Fachschule;;;Oberschulen der Region;Durchführen von BerufsfelderkundungenTeilnehmer: Schüler der Klasse 7 , 8 und der 9. Klasse;Partnerschule;Partnerschule
"Berufliches Schulzentrum für Technik und Wirtschaft Julius Weisbach """erufliches Schulz"""erufliches Schulzent";SN-4250221; Berufsschule;Berufsfachschule;Fachschule;Berufliches Gymnasium;Fachoberschule;;Förderzentrum \Käthe Kollwitz\ Freiberg;Berufsorientierung;Partnerschule;Partnerschule
"Berufliches Schulzentrum für Technik und Wirtschaft Julius Weisbach """erufliches Schulz"""erufliches Schulzent";SN-4250221; Berufsschule;Berufsfachschule;Fachschule;Berufliches Gymnasium;Fachoberschule;;Ober- und Gemeinschaftsschule Oederan;Das Berufliche Schulzentrum (BSZ) unterstützt die Maßnahmen der systematischen Berufsorientierung und zur nachhaltigen Verbesserung der Berufswahlkompetenz von Schülerinnen und Schülern der Ober- und Gemeinschaftsschule Oederan. Die Schüler lernen die Schulart Berufsschule als weiterführende Bildungseinrichtung und Lernort im Rahmen der dualen Berufsausbildung mit ihrer breiten Palette an Möglichkeiten kennen. Im Rahmen von Schullaufbahnberatungen werden Eltern und Schüler zu mit studienqualifizierenden berufsbildenden Schularten Berufliches Gymnasium und Fachoberschule informiert;Partnerschule;Partnerschule
"Berufliches Schulzentrum für Technik und Wirtschaft Julius Weisbach """erufliches Schulz"""erufliches Schulzent";SN-4250221; Berufsschule;Berufsfachschule;Fachschule;Berufliches Gymnasium;Fachoberschule;;Dr.-Eberle-Schule Nossen;Das BSZ Freiberg bietet im Rahmen der Kooperation folgende Angebote: Unterstützung der Jugendlichen bei der Berufswahl und Vorstellung der Berufe im Rahmen der Berufsorientierung vor Ort.Im Rahmen der Kooperation wird die Dr.-Eberle-Schule Nossen das BSZ Freiberg zur jährlichen „Berufswahlbörse“ einladen und die Schüler der Klassenstufe 9 zur Berufsorientierung in das BSZ Freiberg entsenden;Partnerschule;Partnerschule
"Berufliches Schulzentrum für Technik und Wirtschaft Julius Weisbach """erufliches Schulz"""erufliches Schulzent";SN-4250221; Berufsschule;Berufsfachschule;Fachschule;Berufliches Gymnasium;Fachoberschule;;Grundschulen und Oberschulen;"Diverse Formen der Beratung zur Bildungswegentscheidung und zur Berufsorientierung von Grund- und Oberschülern; Berufsorientierungsprojekte mit Mittelschülern";Partnerschule;Partnerschule
"Berufliches Schulzentrum für Technik und Wirtschaft Julius Weisbach """erufliches Schulz"""erufliches Schulzent";SN-4250221; Berufsschule;Berufsfachschule;Fachschule;Berufliches Gymnasium;Fachoberschule;;Förderschule \Dr. Lothar Kreyssig\ Flöha;gemeinsame Projekte der Schüler der Förderschule und des Beruflichen Gymnasiums , Außenstelle FlöhaBegegnungen der Lehrerkollegien der FÖS und der Außenstelle Flöha des BSZ;Partnerschule;Partnerschule
"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft Anne Frank " Plauen""erufliches Schulzen"""erufliches Schulzentrum für W";SN-4550158; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;Berufsbildende Förderschule;Schulparnerschaft mit der Forstschule in Zagnansk (Polen);Keine Angabe;Partnerschule;Partnerschule
Berufliches Schulzentrum Grimma;SN-4450078; Berufsschule;Berufsfachschule;Berufliches Gymnasium;Fachschule;;;Schule zur Lernförderung Grimma;Durchführung von Projekttagen zur BerufsorientierungTeilnahme an ElterninformationsveranstaltungenAbstimmungen zu Lehrplaninhalten , Förderplänen etc.durchgängige Schullaufbahnberatungregelmäßiger , intensiver Informationsaustausch;Partnerschule;Partnerschule
Berufliches Schulzentrum Grimma;SN-4450078; Berufsschule;Berufsfachschule;Berufliches Gymnasium;Fachschule;;;"Werner-Seelenbinder-Schule; Oberschule Bad Lausick";Durchführung von Projekttagen zur BerufsorientierungTeilnahme an ElterninformationsveranstaltungenAbstimmungen zu Lehrplaninhaltendurchgängige Schullaufbahnberatungregelmäßiger , intensiver Informationsaustausch;Partnerschule;Partnerschule
Berufliches Schulzentrum Grimma;SN-4450078; Berufsschule;Berufsfachschule;Berufliches Gymnasium;Fachschule;;;Oberschule Grimma;Durchführung von Projekttagen zur BerufsorientierungTeilnahme an ElterninformationsveranstaltungenAbstimmungen zu Lehrplaninhaltendurchgängige Schullaufbahnberatungregelmäßiger , intensiver Informationsaustausch;Partnerschule;Partnerschule
Berufliches Schulzentrum Grimma;SN-4450078; Berufsschule;Berufsfachschule;Berufliches Gymnasium;Fachschule;;;"Paul-Guenther-Schule; Oberschule Geithain";Durchführung von Projekttagen zur BerufsorientierungTeilnahme an ElterninformationsveranstaltungenAbstimmungen zu Lehrplaninhaltendurchgängige Schullaufbahnberatungregelmäßiger , intensiver Informationsaustausch;Partnerschule;Partnerschule
Berufliches Schulzentrum Kamenz;SN-4150165; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;alle Grundschulen der Region um Kamenz;aktive Teilnahme am Elternabend zur Bildungsberatung (Klasse 3/4);Partnerschule;Partnerschule
Berufliches Schulzentrum Kamenz;SN-4150165; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;Oberschule Pulsnitz;Berufs- und Studienorientierungaktive Teilnahme am Tag der offenen Tür der OS;Partnerschule;Partnerschule
Berufliches Schulzentrum Kamenz;SN-4150165; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;1. Oberschule Kamenz;Berufs- und Studienorientierungberufspraktische Projekte;Partnerschule;Partnerschule
Berufliches Schulzentrum Kamenz;SN-4150165; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;2. Oberschule Kamenz;Berufs- und Studienorientierungberufspraktische Projekte;Partnerschule;Partnerschule
Brücke-Schule, Schule für geistig Behinderte Wurzen;SN-4420303;Schule für geistig Behinderte;;;;;;Grundschule \An der Sternwarte\ Wurzen;Kooperation Unterstufe in Form von gemeinsamen Höhepunkten( Wanderungen , Kultur , Feste , Wettkämpfe);Partnerschule;Partnerschule
Charles-Darwin-Grundschule;SN-4210662;Grundschule;;;;;;Gymnasium Einsiedel;Wechsel zu weiterführenden SchulenTeilnahme am Elternabend in Klasse 3 (Bildungsberatung);Partnerschule;Partnerschule
Charles-Darwin-Grundschule;SN-4210662;Grundschule;;;;;;Albert-Schweitzer-OS;Wechsel zu weiterführenden SchuleSchulbesuche vorwiegend in Klasse 4Elternabende in Klasse 3 und 4;Partnerschule;Partnerschule
Dr.-Alwin-Schade-Schule, Grundschule;SN-4111308;Grundschule;;;;;;tschechische Partnerschule in Krasna Liepa;Schülerbegegnungen über Landesgrenzen hinweg;Partnerschule;Partnerschule
Dr.-Friedrich-Wolf-Schule, Sonderpädagogisches Förderzentrum für Körperbehinderte;SN-4120150;Schule für Körperbehinderte;;;;;;Oberschule \Am Stadtrand\ Hoyerswerda;Gemeinsame Unterricht im Neigungskurs Teilnahme der Oberschüler an der Projektwoche des Förderzentrums Gegenseitige Teilnahme an kulturellen Events Jährliche Schulbesuchstage in Förderzentrum und Oberschule;Partnerschule;Partnerschule
Dr.-Friedrich-Wolf-Schule, Sonderpädagogisches Förderzentrum für Körperbehinderte;SN-4120150;Schule für Körperbehinderte;;;;;;Grundschule \An der Elster\ Hoyerswerda;Teilnahme an sportlichen und kulturellen Events der Schulen Gegenseitige Unterstützung im Bereich der LRS- und Förderdiagnostik und Unterricht Gemeinsame SCHILF;Partnerschule;Partnerschule
Dr.-Päßler-Schule, Schule für geistig Behinderte;SN-4520383;Schule für geistig Behinderte;;;;;;Friedrich-Engels-Schule;Kennenlernen beider Klassen gemeinsame Höhepunkte der US 1 und der Klasse 1 , Weiterführung US 2 und Klasse 2;Partnerschule;Partnerschule
Dr.-Wilhelm-Andre-Gymnasium;SN-4240115;Gymnasium;;;;;;Obere Luisen Grundschule;Außerunterrichtlicher Bereich;Partnerschule;Partnerschule
Dr.-Wilhelm-Andre-Gymnasium;SN-4240115;Gymnasium;;;;;;Gebrüder Grimm GS;Kooperationsvertrag;Partnerschule;Partnerschule
Dr.-Wilhelm-Andre-Gymnasium;SN-4240115;Gymnasium;;;;;;GS Rottluff;Kooperationsvertrag;Partnerschule;Partnerschule
Dr.-Wilhelm-Andre-Gymnasium;SN-4240115;Gymnasium;;;;;;Neruda GS;Kooperationsvertrag;Partnerschule;Partnerschule
Dr.-Wilhelm-Andre-Gymnasium;SN-4240115;Gymnasium;;;;;;Sächsische Blindenschule Chemnitz;KooperationsvertragBlinde uns sehschwache Kinder absolvieren SchnupperunterrichtGymnasiallehrer unterrichten an der BlindenschuleFernziel: Eventuell kann in einigen Jahren ein blinder Schüler auch in Sachsen das abitur ablegen;Partnerschule;Partnerschule
Erich Kästner Schule, Schule für Erziehungshilfe;SN-4220547;Schule für Erziehungshilfe;;;;;;Stadtschule Schwarzenberg;Lehreraustausch/Fortbildungengemeinsame Veranstaltungen von Schülern;Partnerschule;Partnerschule
Ernst-Zinna-Schule - Schule zur Lernförderung der Stadt Leipzig;SN-4420352;Schule zur Lernförderung;;;;;;Oberschule Böhlen;Schüler , die einen Durchschnitt von 2 , 0 haben , bekommen eine Bildungsempfehlung für die OberschuleBeschulung ab klasse 7Erwerb des Hauptschulabschlusses;Partnerschule;Partnerschule
"Förderschulzentrum Oberes Vogtland """örderschulzentrum"""örderschulzentrum Ob";SN-4520342;Schule für geistig Behinderte;Schule zur Lernförderung;Klinik- und Krankenhausschule;;;;Gymnasium Oelsnitz;gemeinsame ProjekteKooperationsvertragDurchführung des Sozialprojektes des Gymnasiums an der Schule zur Lernförderung;Partnerschule;Partnerschule
"Förderschulzentrum Oberes Vogtland """örderschulzentrum"""örderschulzentrum Ob";SN-4520342;Schule für geistig Behinderte;Schule zur Lernförderung;Klinik- und Krankenhausschule;;;;Oberschule Oelsnitz;inklusive Unterrichtung von Förderschülern an der Oberschulegemeinsame Teilnahme am Projekt ERINA;Partnerschule;Partnerschule
"Förderschulzentrum Oberes Vogtland """örderschulzentrum"""örderschulzentrum Ob";SN-4520342;Schule für geistig Behinderte;Schule zur Lernförderung;Klinik- und Krankenhausschule;;;;Grundschule;inklusive Unterrichtung von Förderschülern L und G in der Grundschulegemeinsame Teilnahme am Projekt ERINAPartnerschule;Partnerschule;Partnerschule
"Förderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum "Clemens Win""rzentrum "C""z"""örderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum""rderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clem""derzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-""erzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentru""rzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf""zentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens ""entrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""ntrum Clemens Winkler " Brand-Erbisdorf, Sch""trum Clemens Winkler ";SN-4220463;Schule für Erziehungshilfe;;;;;;Mittelschule Brand-Erbisdorf;Inklusion/IntegrationFort- und Weiterbildunggemeinsame Schulveranstaltungen;Partnerschule;Partnerschule
"Förderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum "Clemens Win""rzentrum "C""z"""örderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum""rderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clem""derzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-""erzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentru""rzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf""zentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens ""entrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""ntrum Clemens Winkler " Brand-Erbisdorf, Sch""trum Clemens Winkler ";SN-4220463;Schule für Erziehungshilfe;;;;;;Mittelschule Lengefeld;Inklusion/IntegrationFort- und Weiterbildunggemeinsame Schulveranstaltungen;Partnerschule;Partnerschule
"Förderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum "Clemens Win""rzentrum "C""z"""örderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum""rderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clem""derzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-""erzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentru""rzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf""zentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens ""entrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""ntrum Clemens Winkler " Brand-Erbisdorf, Sch""trum Clemens Winkler ";SN-4220463;Schule für Erziehungshilfe;;;;;;Mittelschule \C. Zetkin\ Freiberg;Inklusion/IntegrationFort- und Weiterbildunggemeinsame Schulveranstaltungen;Partnerschule;Partnerschule
"Förderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum "Clemens Win""rzentrum "C""z"""örderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clemens Winkler " Bran""erzentrum""rderzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-Erbisdorf,""derzentrum "Clem""derzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentrum "Clemens Winkler " Brand-""erzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf, Schule für E""rderzentru""rzentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens Winkler " Brand-Erbisdorf""zentrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""örderzentrum "Clemens ""entrum Clemens Winkler " Brand-Erbisdorf, Schule für Erziehungshilfe""ntrum Clemens Winkler " Brand-Erbisdorf, Sch""trum Clemens Winkler ";SN-4220463;Schule für Erziehungshilfe;;;;;;Grundschule \C. Winkler\ Freiberg;Inklusion/IntegrationFort- und Weiterbildunggemeinsame Schulveranstaltungen;Partnerschule;Partnerschule
